profile_id,point_id,point_name,x_utm,y_utm,z_m
2,1,Talweg,786128.8883459432,6288026.490295295,-1101.324462890625
2,2,Edge_Left,787937.458263227,6292093.6722042635,-617.4999389648438
2,3,Edge_Right,785113.0965588304,6285742.138476578,-380.7919006347656
2,4,Wmax_Dmax_Intersection,786128.8883459432,6288026.490295295,-465.92479310564806
3,1,Talweg,784577.7499349833,6289227.306582724,-1148.7008056640625
3,2,Edge_Left,786493.275773488,6294059.63620488,-652.5366821289062
3,3,Edge_Right,783711.3942727157,6287041.736413978,-487.13934326171875
3,4,Wmax_Dmax_Intersection,784577.7499349832,6289227.306582724,-538.6486979958383
4,1,Talweg,782741.5002986746,6289906.387348266,-1207.2750244140625
4,2,Edge_Left,786661.1584678654,6293879.013871165,-649.904541015625
4,3,Edge_Right,781552.38163555,6288701.199513997,-784.1820678710938
4,4,Wmax_Dmax_Intersection,782741.5002986747,6289906.387348266,-752.9276368276271
5,1,Talweg,781319.6293171215,6291290.721533889,-1269.5604248046875
5,2,Edge_Left,786185.9801218349,6294392.33770565,-709.880615234375
5,3,Edge_Right,780026.863926488,6290466.7648972245,-801.48046875
5,4,Wmax_Dmax_Intersection,781319.6293171213,6291290.721533889,-782.2541517499163
6,1,Talweg,780192.3691183751,6292930.826210904,-1316.321044921875
6,2,Edge_Left,782430.9277840338,6296683.200100201,-897.8358764648438
6,3,Edge_Right,779407.4779643918,6291615.155946224,-886.9556274414062
6,4,Wmax_Dmax_Intersection,780192.3691183754,6292930.826210904,-889.7801529738475
8,1,Talweg,777819.4474675142,6295607.696039552,-1437.8123779296875
8,2,Edge_Left,777422.0427361446,6296828.032958834,-1030.423095703125
8,3,Edge_Right,779163.7360628601,6291479.700387822,-918.8707885742188
8,4,Wmax_Dmax_Intersection,777819.4474675143,6295607.696039552,-1004.9700415010769
9,1,Talweg,775893.7458806626,6295098.2915651025,-1496.72314453125
9,2,Edge_Left,775259.5553463607,6296632.293906231,-1133.270751953125
9,3,Edge_Right,777461.201618403,6291306.874567755,-927.2774047851562
9,4,Wmax_Dmax_Intersection,775893.7458806626,6295098.2915651025,-1073.9337764534612
11,1,Talweg,772087.5799441176,6293931.983996724,-1639.4373779296875
11,2,Edge_Left,772688.790303664,6296609.651517078,-1278.1046142578125
11,3,Edge_Right,771343.4069876724,6290617.590418237,-992.8244018554688
11,4,Wmax_Dmax_Intersection,772087.5799441177,6293931.983996724,-1150.6216753576484
12,1,Talweg,770151.3948682616,6294091.572219148,-1715.383056640625
12,2,Edge_Left,770638.729553978,6296556.880974546,-1423.0736083984375
12,3,Edge_Right,769474.8274503079,6290668.980665568,-1000.4149780273438
12,4,Wmax_Dmax_Intersection,770151.3948682618,6294091.572219148,-1246.103217033369
16,1,Talweg,764134.893750836,6295996.467837496,-2020.966796875
16,2,Edge_Left,768935.3445685869,6296944.167615285,-1505.265380859375
16,3,Edge_Right,763074.0936801113,6295787.045841631,-1420.3287353515625
16,4,Wmax_Dmax_Intersection,764134.893750836,6295996.467837496,-1435.7010170156975
17,1,Talweg,763740.569618078,6297956.715386368,-2103.805908203125
17,2,Edge_Left,770974.9544924551,6300458.786954607,-1505.1099853515625
17,3,Edge_Right,762676.0690584219,6297588.549103963,-1408.5230712890625
17,4,Wmax_Dmax_Intersection,763740.5696180778,6297956.715386368,-1420.912304143553
18,1,Talweg,763086.8474778873,6299846.86018596,-2190.905029296875
18,2,Edge_Left,770343.419594036,6302356.605394385,-1506.8006591796875
18,3,Edge_Right,761363.7388265455,6299250.90887285,-1518.1798095703125
18,4,Wmax_Dmax_Intersection,763086.8474778872,6299846.86018596,-1515.9962673052032
19,1,Talweg,762756.1215114036,6301777.1592275165,-2257.640625
19,2,Edge_Left,770138.7810291013,6304221.148152527,-1592.788330078125
19,3,Edge_Right,758687.726283791,6300430.3393105185,-1579.2640380859375
19,4,Wmax_Dmax_Intersection,762756.1215114036,6301777.1592275165,-1584.0690247200628
20,1,Talweg,761614.6178666386,6303320.7577121835,-2332.134765625
20,2,Edge_Left,764043.5592780232,6306824.362428916,-1842.5325927734375
20,3,Edge_Right,759290.2304705913,6299967.96599554,-1601.12109375
20,4,Wmax_Dmax_Intersection,761614.6178666385,6303320.7577121835,-1719.1718048040282
21,1,Talweg,759804.2631187756,6303930.949227765,-2388.84765625
21,2,Edge_Left,761064.7930429946,6307304.66839351,-1971.8084716796875
21,3,Edge_Right,758548.9600926765,6300571.21948506,-1609.6492919921875
21,4,Wmax_Dmax_Intersection,759804.2631187756,6303930.949227765,-1790.3526706222306
23,1,Talweg,756181.7065337036,6305175.329962738,-2527.73681640625
23,2,Edge_Left,759868.3356313021,6306959.041370867,-2080.938232421875
23,3,Edge_Right,752222.2245610837,6303259.60343374,-1996.62158203125
23,4,Wmax_Dmax_Intersection,756181.7065337036,6305175.329962738,-2040.2843347884946
24,1,Talweg,755254.7330396553,6306900.435228252,-2595.01708984375
24,2,Edge_Left,760119.7330523097,6308866.248914477,-2092.515869140625
24,3,Edge_Right,750608.1773478652,6305022.88892836,-2089.489990234375
24,4,Wmax_Dmax_Intersection,755254.7330396553,6306900.435228252,-2090.9681832126207
25,1,Talweg,754620.8692116279,6308725.646961644,-2646.95068359375
25,2,Edge_Left,760252.700334233,6309931.196282755,-2084.88330078125
25,3,Edge_Right,749338.6608005115,6307594.937850282,-2029.1767578125
25,4,Wmax_Dmax_Intersection,754620.8692116279,6308725.646961644,-2056.13777155215
26,1,Talweg,754202.2332415787,6310681.342215149,-2758.604248046875
26,2,Edge_Left,760049.7259904689,6311933.056046814,-2192.613525390625
26,3,Edge_Right,749469.7153308977,6309668.299808465,-2190.16064453125
26,4,Wmax_Dmax_Intersection,754202.2332415787,6310681.342215149,-2191.257836488165
27,1,Talweg,753783.5972715295,6312637.037468653,-2847.458251953125
27,2,Edge_Left,760368.1009249319,6314046.515795755,-2191.061767578125
27,3,Edge_Right,748783.8229605256,6311566.786178243,-2177.492431640625
27,4,Wmax_Dmax_Intersection,753783.5972715295,6312637.037468653,-2183.348956962803
28,1,Talweg,753375.3341465336,6314594.87296255,-2933.666748046875
28,2,Edge_Left,760976.9624131243,6316104.752647106,-2190.522216796875
28,3,Edge_Right,748888.3128076993,6313703.634648063,-2156.81640625
28,4,Wmax_Dmax_Intersection,753375.3341465336,6314594.87296255,-2169.327207381887
29,1,Talweg,752985.6942277232,6316556.551002818,-3014.930908203125
29,2,Edge_Left,761566.6509140099,6318260.950602522,-2217.6875
29,3,Edge_Right,747116.846605334,6315390.846302979,-2229.362060546875
29,4,Wmax_Dmax_Intersection,752985.6942277232,6316556.551002818,-2224.620389625641
30,1,Talweg,752584.9054052959,6318515.929553085,-3090.71044921875
30,2,Edge_Left,761384.95978981,6320398.282270741,-2191.697021484375
30,3,Edge_Right,746633.4984421938,6317242.909344189,-2149.76123046875
30,4,Wmax_Dmax_Intersection,752584.9054052959,6318515.929553085,-2166.680026022108
31,1,Talweg,752215.1205842445,6320478.987270571,-3151.796142578125
31,2,Edge_Left,760665.1645268844,6322772.862239438,-2203.140869140625
31,3,Edge_Right,745796.9465374489,6318736.689965172,-2160.3759765625
31,4,Wmax_Dmax_Intersection,752215.1205842444,6320478.987270571,-2178.836327618285
32,1,Talweg,751943.1359686072,6322435.322873893,-3220.284423828125
32,2,Edge_Left,758825.28173752,6325493.8454497,-2197.872802734375
32,3,Edge_Right,746080.1539327862,6319829.731025038,-2190.455078125
32,4,Wmax_Dmax_Intersection,751943.1359686073,6322435.322873893,-2193.867361375332
33,1,Talweg,751130.9053571025,6324262.966557365,-3273.445556640625
33,2,Edge_Left,758206.0924129754,6327407.279401797,-2202.652099609375
33,3,Edge_Right,746111.0710838125,6322032.081457398,-2204.02587890625
33,4,Wmax_Dmax_Intersection,751130.9053571025,6324262.966557365,-2203.455715017265
34,1,Talweg,750389.1299106465,6326119.178902232,-3337.69775390625
34,2,Edge_Left,757946.4117605395,6328897.14222033,-2194.6123046875
34,3,Edge_Right,745762.5068615222,6324418.489504586,-2285.812255859375
34,4,Wmax_Dmax_Intersection,750389.1299106465,6326119.178902232,-2251.18068251175
35,1,Talweg,749699.0968996965,6327996.372137836,-3386.387451171875
35,2,Edge_Left,757404.6473305821,6330828.837152101,-2206.56689453125
35,3,Edge_Right,746698.8292769025,6326893.510875527,-2506.2685546875
35,4,Wmax_Dmax_Intersection,749699.0968996965,6327996.372137836,-2422.2782250409623
36,1,Talweg,748766.3478345519,6329646.711781588,-3433.15966796875
36,2,Edge_Left,756954.154741183,6334736.663778285,-2201.224853515625
36,3,Edge_Right,745888.177433835,6327857.496507582,-2508.1201171875
36,4,Wmax_Dmax_Intersection,748766.3478345518,6329646.711781588,-2428.299163331573
37,1,Talweg,747658.7017800213,6331428.205758675,-3477.05322265625
37,2,Edge_Left,756044.5677660146,6338336.152720273,-2382.753173828125
37,3,Edge_Right,744432.8904085495,6328770.90907644,-2520.462158203125
37,4,Wmax_Dmax_Intersection,747658.7017800213,6331428.205758675,-2482.20556580262
38,1,Talweg,746703.92748088,6333083.799091591,-3513.325439453125
38,2,Edge_Left,751819.3812093602,6343007.915489282,-2499.747802734375
38,3,Edge_Right,744471.615267862,6328753.0539780855,-2488.063720703125
38,4,Wmax_Dmax_Intersection,746703.9274808798,6333083.799091591,-2491.6134416964073
39,1,Talweg,744805.3006598038,6333083.677432579,-3572.709228515625
